"name","lat","long","depict"
"スクルの文化的景観",10.7406,13.5719,"http://commons.wikimedia.org/wiki/Special:FilePath/Sukur1.jpg"
"http://ja.dbpedia.org/resource/ダラム城",54.7736,-1.57611,"http://commons.wikimedia.org/wiki/Special:FilePath/Sfec-durham-cathedral-2007-263.JPG"
"テッサロニキの初期キリスト教とビザンティン様式の建造物群",40.6388,22.9479,"http://commons.wikimedia.org/wiki/Special:FilePath/AgiosDimitriosinner.jpg"
"ナンシーのスタニスラス広場、カリエール広場、アリアンス広場",48.6939,6.18306,"http://commons.wikimedia.org/wiki/Special:FilePath/Nancy_Place_Stanislas_BW_2015-07-18_13-49-20_1.jpg"
"国立公園",17.484,-92.0463,"http://commons.wikimedia.org/wiki/Special:FilePath/Palenque_Collage.jpg"
"古代都市パレンケと",17.484,-92.0463,"http://commons.wikimedia.org/wiki/Special:FilePath/Palenque_Collage.jpg"
"ファテープル・シークリー",27.091,77.661,"http://commons.wikimedia.org/wiki/Special:FilePath/Audienzhalle.jpg"
"フォンテーヌブローの宮殿と庭園",48.4022,2.70056,"http://commons.wikimedia.org/wiki/Special:FilePath/FontainebleauSchloß1991.jpg"
"シトー会修道院",47.6408,4.38972,"http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye_de_Fontenay-EgliseBatiments.jpg"
"フォントネーの",47.6408,4.38972,"http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye_de_Fontenay-EgliseBatiments.jpg"
"ブッダガヤの大菩提寺",24.696,84.9914,"http://commons.wikimedia.org/wiki/Special:FilePath/Mahabodhitemple.jpg"
"マルボルクのドイツ騎士団の城",54.0397,19.0278,"http://commons.wikimedia.org/wiki/Special:FilePath/Panorama_of_Malbork_Castle,_part_4.jpg"
"ランス・オ・メドー国定史跡",51.596,-55.5334,"http://commons.wikimedia.org/wiki/Special:FilePath/Authentic_Viking_recreation.jpg"
"聖カタリナ修道院地域",28.5556,33.9761,"http://commons.wikimedia.org/wiki/Special:FilePath/Katharinenkloster_Sinai_BW_2.jpg"
"ニジェールのW国立公園",12.5253,2.66333,"http://commons.wikimedia.org/wiki/Special:FilePath/W_2.66341E_12.52522N.jpg"
"アシャンティの",6.40111,-1.62583,"http://commons.wikimedia.org/wiki/Special:FilePath/Ashant_architecture.jpg"
"伝統的建造物群",6.40111,-1.62583,"http://commons.wikimedia.org/wiki/Special:FilePath/Ashant_architecture.jpg"
"アスキアの墓",16.2897,-0.0444444,"http://commons.wikimedia.org/wiki/Special:FilePath/Askia.jpg"
"アブ・メナ",30.841,29.6631,"http://commons.wikimedia.org/wiki/Special:FilePath/Abu_Mena,_Egipto.JPG"
"セビリアの大聖堂、アルカサル、インディアス古文書館",37.3839,-5.99139,"http://commons.wikimedia.org/wiki/Special:FilePath/Sevila1.JPG"
"アルジェのカスバ",36.7833,3.06028,"http://commons.wikimedia.org/wiki/Special:FilePath/Algeri01.jpg"
"アルダブラ環礁",-9.41668,46.4166,"http://commons.wikimedia.org/wiki/Special:FilePath/Tortoise.aldabra.750pix.jpg"
"マサガン（アル・ジャディーダ）のポルトガル様式市街",33.2333,-8.5,"http://commons.wikimedia.org/wiki/Special:FilePath/Morocco_-_AlJadida_-_Medina.jpg"
"アワッシュ川下流域",11.1,40.5794,"http://commons.wikimedia.org/wiki/Special:FilePath/Lucy_Mexico.jpg"
"アープラヴァシ・ガート",-20.1586,57.5031,"http://commons.wikimedia.org/wiki/Special:FilePath/Aapravasi_Ghat_latrines.jpg"
"イグアス国立公園",-25.6167,-54.3333,"http://commons.wikimedia.org/wiki/Special:FilePath/Iguazu.jpg"
"イグアス国立公園",-25.6833,-54.4333,"http://commons.wikimedia.org/wiki/Special:FilePath/FozDoIguaçu.JPG"
"イスチグアラスト/",-30.0667,-68.0,"http://commons.wikimedia.org/wiki/Special:FilePath/Talampaya1.jpg"
"タランパジャ自然公園群",-30.0667,-68.0,"http://commons.wikimedia.org/wiki/Special:FilePath/Talampaya1.jpg"
"オカピ野生生物保護区",2.0,28.5,"http://commons.wikimedia.org/wiki/Special:FilePath/Epulu_Okapi_Reserve.jpg"
"オシュン＝オショグボの聖なる木立ち",7.75556,4.55222,"http://commons.wikimedia.org/wiki/Special:FilePath/Templo_Osun3.jpg"
"カスビの",0.329167,32.5533,"http://commons.wikimedia.org/wiki/Special:FilePath/Kampala_Kasubi_Tombs_(2063513983).jpg"
"ブガンダ歴代国王の墓",0.329167,32.5533,"http://commons.wikimedia.org/wiki/Special:FilePath/Kampala_Kasubi_Tombs_(2063513983).jpg"
"カフジ＝ビエガ国立公園",-2.5,28.75,"http://commons.wikimedia.org/wiki/Special:FilePath/KahuziBiegaSign.jpg"
"ガダミス旧市街",30.1333,9.5,"http://commons.wikimedia.org/wiki/Special:FilePath/Ghadames_Panorama_April_2004.jpg"
"ガランバ国立公園",4.0,29.25,"http://commons.wikimedia.org/wiki/Special:FilePath/Garamba_National_Park_overhead.jpg"
"キュレネの考古遺跡",32.825,21.8581,"http://commons.wikimedia.org/wiki/Special:FilePath/CireneGinnasio1999.jpg"
"キルワ・キシワニと",-8.95778,39.5228,"http://commons.wikimedia.org/wiki/Special:FilePath/GreatMosque.jpg"
